municipality,day,OutgoingCount,IncomingCount
CHICAGO,2020-03-01 00:00:00+00:00,1091,1142
CHICAGO,2020-03-02 00:00:00+00:00,1273,1309
CHICAGO,2020-03-03 00:00:00+00:00,1261,1275
CHICAGO,2020-03-04 00:00:00+00:00,1261,1283
CHICAGO,2020-03-05 00:00:00+00:00,1291,1323
CHICAGO,2020-03-06 00:00:00+00:00,1301,1287
CHICAGO,2020-03-07 00:00:00+00:00,1219,1241
CHICAGO,2020-03-08 00:00:00+00:00,1244,1321
CHICAGO,2020-03-09 00:00:00+00:00,1313,1335
CHICAGO,2020-03-10 00:00:00+00:00,1338,1291
CHICAGO,2020-03-11 00:00:00+00:00,1333,1348
CHICAGO,2020-03-12 00:00:00+00:00,1342,1362
CHICAGO,2020-03-13 00:00:00+00:00,1366,1360
CHICAGO,2020-03-14 00:00:00+00:00,1208,1210
CHICAGO,2020-03-15 00:00:00+00:00,1205,1191
CHICAGO,2020-03-16 00:00:00+00:00,1268,1308
CHICAGO,2020-03-17 00:00:00+00:00,1299,1230
CHICAGO,2020-03-18 00:00:00+00:00,1064,1035
CHICAGO,2020-03-19 00:00:00+00:00,1020,1006
CHICAGO,2020-03-20 00:00:00+00:00,1028,1023
CHICAGO,2020-03-21 00:00:00+00:00,848,805
CHICAGO,2020-03-22 00:00:00+00:00,760,773
CHICAGO,2020-03-23 00:00:00+00:00,744,771
CHICAGO,2020-03-24 00:00:00+00:00,740,766
CHICAGO,2020-03-25 00:00:00+00:00,686,696
CHICAGO,2020-03-26 00:00:00+00:00,663,672
CHICAGO,2020-03-27 00:00:00+00:00,597,619
CHICAGO,2020-03-28 00:00:00+00:00,574,574
CHICAGO,2020-03-29 00:00:00+00:00,588,623
CHICAGO,2020-03-30 00:00:00+00:00,592,605
CHICAGO,2020-03-31 00:00:00+00:00,591,598
LOS ANGELES,2020-03-01 00:00:00+00:00,687,647
LOS ANGELES,2020-03-02 00:00:00+00:00,753,698
LOS ANGELES,2020-03-03 00:00:00+00:00,788,697
LOS ANGELES,2020-03-04 00:00:00+00:00,749,710
LOS ANGELES,2020-03-05 00:00:00+00:00,795,714
LOS ANGELES,2020-03-06 00:00:00+00:00,790,770
LOS ANGELES,2020-03-07 00:00:00+00:00,748,675
LOS ANGELES,2020-03-08 00:00:00+00:00,719,638
LOS ANGELES,2020-03-09 00:00:00+00:00,767,674
LOS ANGELES,2020-03-10 00:00:00+00:00,768,763
LOS ANGELES,2020-03-11 00:00:00+00:00,768,688
LOS ANGELES,2020-03-12 00:00:00+00:00,773,709
LOS ANGELES,2020-03-13 00:00:00+00:00,770,693
LOS ANGELES,2020-03-14 00:00:00+00:00,747,659
LOS ANGELES,2020-03-15 00:00:00+00:00,702,627
LOS ANGELES,2020-03-16 00:00:00+00:00,752,684
LOS ANGELES,2020-03-17 00:00:00+00:00,746,667
LOS ANGELES,2020-03-18 00:00:00+00:00,706,637
LOS ANGELES,2020-03-19 00:00:00+00:00,691,626
LOS ANGELES,2020-03-20 00:00:00+00:00,673,615
LOS ANGELES,2020-03-21 00:00:00+00:00,584,566
LOS ANGELES,2020-03-22 00:00:00+00:00,512,501
LOS ANGELES,2020-03-23 00:00:00+00:00,516,505
LOS ANGELES,2020-03-24 00:00:00+00:00,492,428
LOS ANGELES,2020-03-25 00:00:00+00:00,473,415
LOS ANGELES,2020-03-26 00:00:00+00:00,443,414
LOS ANGELES,2020-03-27 00:00:00+00:00,394,365
LOS ANGELES,2020-03-28 00:00:00+00:00,384,388
LOS ANGELES,2020-03-29 00:00:00+00:00,387,349
LOS ANGELES,2020-03-30 00:00:00+00:00,365,360
LOS ANGELES,2020-03-31 00:00:00+00:00,379,384
NEW YORK,2020-03-01 00:00:00+00:00,772,822
NEW YORK,2020-03-02 00:00:00+00:00,983,1009
NEW YORK,2020-03-03 00:00:00+00:00,975,1015
NEW YORK,2020-03-04 00:00:00+00:00,958,1004
NEW YORK,2020-03-05 00:00:00+00:00,982,1035
NEW YORK,2020-03-06 00:00:00+00:00,985,991
NEW YORK,2020-03-07 00:00:00+00:00,874,883
NEW YORK,2020-03-08 00:00:00+00:00,823,876
NEW YORK,2020-03-09 00:00:00+00:00,979,1020
NEW YORK,2020-03-10 00:00:00+00:00,979,998
NEW YORK,2020-03-11 00:00:00+00:00,975,1011
NEW YORK,2020-03-12 00:00:00+00:00,993,1026
NEW YORK,2020-03-13 00:00:00+00:00,1012,1013
NEW YORK,2020-03-14 00:00:00+00:00,877,884
NEW YORK,2020-03-15 00:00:00+00:00,806,860
NEW YORK,2020-03-16 00:00:00+00:00,962,990
NEW YORK,2020-03-17 00:00:00+00:00,941,959
NEW YORK,2020-03-18 00:00:00+00:00,908,921
NEW YORK,2020-03-19 00:00:00+00:00,871,887
NEW YORK,2020-03-20 00:00:00+00:00,778,782
NEW YORK,2020-03-21 00:00:00+00:00,598,590
NEW YORK,2020-03-22 00:00:00+00:00,517,588
NEW YORK,2020-03-23 00:00:00+00:00,578,595
NEW YORK,2020-03-24 00:00:00+00:00,519,507
NEW YORK,2020-03-25 00:00:00+00:00,388,422
NEW YORK,2020-03-26 00:00:00+00:00,387,380
NEW YORK,2020-03-27 00:00:00+00:00,366,371
NEW YORK,2020-03-28 00:00:00+00:00,335,311
NEW YORK,2020-03-29 00:00:00+00:00,270,289
NEW YORK,2020-03-30 00:00:00+00:00,317,303
NEW YORK,2020-03-31 00:00:00+00:00,285,298
SAN FRANCISCO,2020-03-01 00:00:00+00:00,434,461
SAN FRANCISCO,2020-03-02 00:00:00+00:00,496,519
SAN FRANCISCO,2020-03-03 00:00:00+00:00,488,513
SAN FRANCISCO,2020-03-04 00:00:00+00:00,479,493
SAN FRANCISCO,2020-03-05 00:00:00+00:00,487,508
SAN FRANCISCO,2020-03-06 00:00:00+00:00,510,527
SAN FRANCISCO,2020-03-07 00:00:00+00:00,510,506
SAN FRANCISCO,2020-03-08 00:00:00+00:00,489,495
SAN FRANCISCO,2020-03-09 00:00:00+00:00,506,521
SAN FRANCISCO,2020-03-10 00:00:00+00:00,488,511
SAN FRANCISCO,2020-03-11 00:00:00+00:00,485,498
SAN FRANCISCO,2020-03-12 00:00:00+00:00,504,519
SAN FRANCISCO,2020-03-13 00:00:00+00:00,493,524
SAN FRANCISCO,2020-03-14 00:00:00+00:00,490,484
SAN FRANCISCO,2020-03-15 00:00:00+00:00,449,471
SAN FRANCISCO,2020-03-16 00:00:00+00:00,474,476
SAN FRANCISCO,2020-03-17 00:00:00+00:00,478,483
SAN FRANCISCO,2020-03-18 00:00:00+00:00,442,448
SAN FRANCISCO,2020-03-19 00:00:00+00:00,413,433
SAN FRANCISCO,2020-03-20 00:00:00+00:00,422,419
SAN FRANCISCO,2020-03-21 00:00:00+00:00,374,378
SAN FRANCISCO,2020-03-22 00:00:00+00:00,301,311
SAN FRANCISCO,2020-03-23 00:00:00+00:00,290,292
SAN FRANCISCO,2020-03-24 00:00:00+00:00,272,279
SAN FRANCISCO,2020-03-25 00:00:00+00:00,248,263
SAN FRANCISCO,2020-03-26 00:00:00+00:00,227,230
SAN FRANCISCO,2020-03-27 00:00:00+00:00,215,228
SAN FRANCISCO,2020-03-28 00:00:00+00:00,215,222
SAN FRANCISCO,2020-03-29 00:00:00+00:00,206,216
SAN FRANCISCO,2020-03-30 00:00:00+00:00,198,216
SAN FRANCISCO,2020-03-31 00:00:00+00:00,196,207
SEATTLE,2020-03-01 00:00:00+00:00,450,446
SEATTLE,2020-03-02 00:00:00+00:00,545,521
SEATTLE,2020-03-03 00:00:00+00:00,541,533
SEATTLE,2020-03-04 00:00:00+00:00,536,521
SEATTLE,2020-03-05 00:00:00+00:00,543,533
SEATTLE,2020-03-06 00:00:00+00:00,547,539
SEATTLE,2020-03-07 00:00:00+00:00,529,511
SEATTLE,2020-03-08 00:00:00+00:00,486,489
SEATTLE,2020-03-09 00:00:00+00:00,533,524
SEATTLE,2020-03-10 00:00:00+00:00,534,537
SEATTLE,2020-03-11 00:00:00+00:00,528,522
SEATTLE,2020-03-12 00:00:00+00:00,532,524
SEATTLE,2020-03-13 00:00:00+00:00,524,529
SEATTLE,2020-03-14 00:00:00+00:00,505,494
SEATTLE,2020-03-15 00:00:00+00:00,479,470
SEATTLE,2020-03-16 00:00:00+00:00,527,512
SEATTLE,2020-03-17 00:00:00+00:00,528,526
SEATTLE,2020-03-18 00:00:00+00:00,501,499
SEATTLE,2020-03-19 00:00:00+00:00,481,488
SEATTLE,2020-03-20 00:00:00+00:00,451,466
SEATTLE,2020-03-21 00:00:00+00:00,410,424
SEATTLE,2020-03-22 00:00:00+00:00,338,350
SEATTLE,2020-03-23 00:00:00+00:00,364,385
SEATTLE,2020-03-24 00:00:00+00:00,378,390
SEATTLE,2020-03-25 00:00:00+00:00,325,355
SEATTLE,2020-03-26 00:00:00+00:00,345,337
SEATTLE,2020-03-27 00:00:00+00:00,308,332
SEATTLE,2020-03-28 00:00:00+00:00,293,301
SEATTLE,2020-03-29 00:00:00+00:00,249,263
SEATTLE,2020-03-30 00:00:00+00:00,284,286
SEATTLE,2020-03-31 00:00:00+00:00,249,286
